FILE:,\\Remote-desktop\공용 폴더\프로젝트\산업부 알키미스트\가공데이터\표면조도\0801\0801표면조도평가곡선파일_S2800_F1150.CSV
PROPERTY:
,타이틀,
,부제,
,작성자,SV-2100M4
,작성일자,2025-08-01 오후 3:10:05
,변경일자,2025-08-01 오후 3:30:32
,갱신자,SV-2100M4
,개정번호,0
,측정시작 일자,2025-08-01 오후 3:12:06
,측정종료 일자,2025-08-01 오후 3:30:03

UNIT:,mm,μm
DECIMAL:,4,3

DATAAXIS:,X,Z,D
DATAUNIT:,mm,μm

PROFILENUM:,1

PROFILENO:,1
XPITCH:,0.0500000000000000
DATANUM:,1800
,5.80000000000000,0.374179290683994,0
,5.85000000000000,-1.52719409613282,0
,5.90000000000000,-2.25336235091015,0
,5.95000000000000,-1.36793309348724,0
,6.00000000000000,-0.00196318701061462,0
,6.05000000000000,0.830302747594493,0
,6.10000000000000,1.51067730954738,0
,6.15000000000000,1.77830403654860,0
,6.20000000000000,0.809894913221736,0
,6.25000000000000,-1.07464347465138,0
,6.30000000000000,-2.23567377189153,0
,6.35000000000000,-1.64233799431332,0
,6.40000000000000,-0.218571062347812,0
,6.45000000000000,0.801874911555650,0
,6.50000000000000,1.74197840769975,0
,6.55000000000000,2.53397319862281,0
,6.60000000000000,2.00529902670127,0
,6.65000000000000,0.107609508185751,0
,6.70000000000000,-1.50638968395414,0
,6.75000000000000,-1.51089014747768,0
,6.80000000000000,-0.349053393040690,0
,6.85000000000000,0.772798736586621,0
,6.90000000000000,1.85877049877721,0
,6.95000000000000,2.84638854148700,0
,7.00000000000000,2.46922306796993,0
,7.05000000000000,0.570032200509751,0
,7.10000000000000,-1.28527103139025,0
,7.15000000000000,-1.71803788420004,0
,7.20000000000000,-0.708044861793377,0
,7.25000000000000,0.659110443903029,0
,7.30000000000000,1.71728578035995,0
,7.35000000000000,2.55698918671095,0
,7.40000000000000,2.46325769216786,0
,7.45000000000000,1.02041946937464,0
,7.50000000000000,-0.865566074704131,0
,7.55000000000000,-1.65451088504824,0
,7.60000000000000,-0.852938696542657,0
,7.65000000000000,0.428040559354326,0
,7.70000000000000,1.28607702880778,0
,7.75000000000000,2.02386450072644,0
,7.80000000000000,2.19081788763403,0
,7.85000000000000,1.05367015560070,0
,7.90000000000000,-0.829490205309145,0
,7.95000000000000,-1.92832130354581,0
,8.00000000000000,-1.39547610287393,0
,8.05000000000000,-0.144858639706467,0
,8.10000000000000,0.695968459010742,0
,8.15000000000000,1.47453929908801,0
,8.20000000000000,1.98835667198584,0
,8.25000000000000,1.19498229972762,0
,8.30000000000000,-0.784367621357329,0
,8.35000000000000,-2.31811484823895,0
,8.40000000000000,-2.14241033643240,0
,8.45000000000000,-0.897319844306927,0
,8.50000000000000,0.169465949748125,0
,8.55000000000000,1.21208606927799,0
,8.60000000000000,2.14852604132429,0
,8.65000000000000,1.67940656520244,0
,8.70000000000000,-0.284056202466608,0
,8.75000000000000,-2.05247246324151,0
,8.80000000000000,-2.28243040852795,0
,8.85000000000000,-1.27736858721625,0
,8.90000000000000,-0.143485358814898,0
,8.95000000000000,0.939247825914079,0
,9.00000000000000,1.94304867136715,0
